timestamp,dayOfWeek,isHoliday,zoneId,hallId,hallName,eventId,isEvent,hallCapacity,currentOccupancy,threshold,isOvercrowded,occupancyRatio,crowdDensityClass,inflowCount,outflowCount,flowCongestionIndex,isQueue,queueLengthClass,recommendedAction,hourOfDay,dayOfYear,outdoorTempC,humidityPct,indoorTempC,tempComfortScore,humidityComfortScore,crowdComfortPenalty,comfortIndex,comfortStatus,hvacEnergyKWh,carbonKgCO2,energyEfficiencyScore,sustainabilityStatus,venueRole,xCoord,yCoord
2025-12-24 00:00:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,7,280,0,0.02,low,0,0,0.014,0,0,none,0,358,36.2,52.7,29.0,60.0,94.6,0.8,60.0,acceptable,6.09,2.56,82.2,green,mainStage,55,80
2025-12-24 00:15:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,29,280,0,0.083,low,22,0,0.19,0,0,none,0,358,35.5,57.3,29.0,60.0,85.4,3.3,56.2,acceptable,10.09,4.24,70.6,amber,mainStage,55,80
2025-12-24 00:30:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,37,280,0,0.106,low,8,0,0.122,0,0,none,0,358,36.0,62.2,29.0,60.0,75.6,4.2,52.6,acceptable,8.82,3.7,74.3,amber,mainStage,55,80
2025-12-24 00:45:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,54,280,0,0.154,low,17,0,0.21,0,0,none,0,358,26.9,56.9,29.0,60.0,86.2,6.2,55.9,acceptable,19.21,8.07,44.0,red,mainStage,55,80
2025-12-24 01:00:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,23,280,0,0.066,low,0,31,0.046,0,0,none,1,358,36.0,65.0,29.0,60.0,70.0,2.6,51.0,acceptable,5.57,2.34,83.8,green,mainStage,55,80
2025-12-24 01:15:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,131,280,0,0.374,medium,108,0,0.562,0,0,none,1,358,21.9,42.6,27.3,73.6,85.2,15.0,59.9,acceptable,9.03,3.79,73.7,amber,mainStage,55,80
2025-12-24 01:30:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,59,280,0,0.169,low,0,72,0.118,0,0,none,1,358,25.7,38.2,28.1,67.2,76.4,6.8,55.6,acceptable,10.92,4.59,68.2,amber,mainStage,55,80
2025-12-24 01:45:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,12,280,0,0.034,low,0,47,0.024,0,0,none,1,358,35.5,65.0,29.0,60.0,70.0,1.4,51.2,acceptable,11.36,4.77,66.9,amber,mainStage,55,80
2025-12-24 02:00:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,41,280,0,0.117,low,29,0,0.256,0,0,none,2,358,27.0,51.3,29.0,60.0,97.4,4.7,60.2,acceptable,5.58,2.34,83.7,green,mainStage,55,80
2025-12-24 02:15:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,124,280,0,0.354,medium,83,0,0.548,0,0,none,2,358,21.9,45.4,25.8,85.6,90.8,14.2,67.5,acceptable,9.11,3.83,73.4,amber,mainStage,55,80
2025-12-24 02:30:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,79,280,0,0.226,low,0,45,0.158,0,0,none,2,358,26.4,54.1,29.0,60.0,91.8,9.0,57.3,acceptable,4.85,2.04,85.9,green,mainStage,55,80
2025-12-24 02:45:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,109,280,0,0.311,medium,30,0,0.398,0,0,none,2,358,22.3,58.8,24.9,92.8,82.4,12.4,68.1,acceptable,8.31,3.49,75.8,green,mainStage,55,80
2025-12-24 03:00:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,11,280,0,0.031,low,0,98,0.022,0,0,none,3,358,22.3,65.0,25.8,85.6,70.0,1.2,62.8,acceptable,12.15,5.1,64.6,amber,mainStage,55,80
2025-12-24 03:15:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,12,280,0,0.034,low,1,0,0.03,0,0,none,3,358,24.8,59.7,27.2,74.4,80.6,1.4,61.4,acceptable,9.81,4.12,71.4,amber,mainStage,55,80
2025-12-24 03:30:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,7,280,0,0.02,low,0,5,0.014,0,0,none,3,358,33.0,57.9,29.0,60.0,84.2,0.8,56.3,acceptable,14.69,6.17,57.2,amber,mainStage,55,80
2025-12-24 03:45:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,26,280,0,0.074,low,19,0,0.166,0,0,none,3,358,27.7,65.0,29.0,60.0,70.0,3.0,50.9,acceptable,8.42,3.54,75.4,green,mainStage,55,80
2025-12-24 04:00:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,79,280,0,0.226,low,53,0,0.458,0,0,none,4,358,29.2,65.0,29.0,60.0,70.0,9.0,49.7,acceptable,20.57,8.64,40.0,red,mainStage,55,80
2025-12-24 04:15:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,30,280,0,0.086,low,0,49,0.06,0,0,none,4,358,36.0,64.9,29.0,60.0,70.2,3.4,50.9,acceptable,9.02,3.79,73.7,amber,mainStage,55,80
2025-12-24 04:30:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,55,280,0,0.157,low,25,0,0.26,0,0,none,4,358,27.0,60.0,29.0,60.0,80.0,6.3,53.7,acceptable,5.41,2.27,84.2,green,mainStage,55,80
2025-12-24 04:45:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,16,280,0,0.046,low,0,39,0.032,0,0,none,4,358,22.3,63.2,25.3,89.6,73.6,1.8,65.7,acceptable,7.69,3.23,77.6,green,mainStage,55,80
2025-12-24 05:00:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,105,280,0,0.3,medium,89,0,0.51,0,0,none,5,358,27.5,46.6,29.0,60.0,93.2,12.0,57.2,acceptable,15.17,6.37,55.8,amber,mainStage,55,80
2025-12-24 05:15:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,77,280,0,0.22,low,0,28,0.154,0,0,none,5,358,25.2,36.4,29.0,60.0,72.8,8.8,50.7,acceptable,7.66,3.22,77.7,green,mainStage,55,80
2025-12-24 05:30:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,63,280,0,0.18,low,0,14,0.126,0,0,none,5,358,27.5,50.5,26.5,80.0,99.0,7.2,69.2,acceptable,13.8,5.8,59.8,amber,mainStage,55,80
2025-12-24 05:45:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,54,280,0,0.154,low,0,9,0.108,0,0,none,5,358,35.5,48.2,29.0,60.0,96.4,6.2,59.5,acceptable,6.75,2.84,80.3,green,mainStage,55,80
2025-12-24 06:00:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,48,280,0,0.137,low,0,6,0.096,0,0,none,6,358,27.7,65.0,29.0,60.0,70.0,5.5,50.4,acceptable,3.95,1.66,88.5,green,mainStage,55,80
2025-12-24 06:15:00,Wednesday,False,zoneB,HZB01,EastHall1,,False,350,12,280,0,0.034,low,0,36,0.024,0,0,none,6,358,26.4,44.3,29.0,60.0,88.6,1.4,57.7,acceptable,2.3,0.97,93.3,green,mainStage,55,80
